Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
11042,10158,Directed,11042_10158,,,62,1928600,7548,4634,0,5278,3846
11292,11495,Directed,11292_11495,,,1,50100,188,53,0,889,120
11259,10599,Directed,11259_10599,,,1027,37923377,139374,101071,269969,19371,79266
13577,11641,Directed,13577_11641,,,1,40000,0,0,19000,90,36
14574,15370,Directed,14574_15370,,,1,13900,122,40,0,885,155
13087,14993,Directed,13087_14993,,,2,70000,240,179,0,1954,505
12197,16363,Directed,12197_16363,,,1,5300,7,1,0,841,132
14474,11844,Directed,14474_11844,,,462,1100639,4430,1454,94769,3476,9346
13487,11630,Directed,13487_11630,,,185,9646460,33865,27987,618,12330,59030
10551,15282,Directed,10551_15282,,,473,946641,2952,935,61528,10856,23991
14685,10158,Directed,14685_10158,,,8,203900,932,447,0,3762,711
10140,13341,Directed,10140_13341,,,1,1780,9,4,0,720,0
15177,14107,Directed,15177_14107,,,157,1413000,5809,3916,0,1548,14637
10713,13264,Directed,10713_13264,,,1,35000,120,20,0,347,55
14492,10868,Directed,14492_10868,,,1,36000,144,132,0,188,89
11535,10299,Directed,11535_10299,,,6,39000,45,19,11394,2724,605
13891,11540,Directed,13891_11540,,,11,585655,1236,686,182897,4020,1041
14320,11764,Directed,14320_11764,,,1,5300,7,5,0,758,114
11624,12882,Directed,11624_12882,,,1,6400,30,19,0,237,60
14893,13871,Directed,14893_13871,,,3,102000,450,256,0,4110,480
14685,10431,Directed,14685_10431,,,1,11486,50,19,0,241,130
14081,15532,Directed,14081_15532,,,157,377100,1777,1129,0,1173,5533
15323,13495,Directed,15323_13495,,,1,42500,174,98,0,637,95
14307,14492,Directed,14307_14492,,,2,74100,274,142,0,1132,234
14082,13296,Directed,14082_13296,,,1,30000,150,146,0,1254,154
15085,15721,Directed,15085_15721,,,2,9100,0,0,5300,210,22
12807,10299,Directed,12807_10299,,,737,8349096,7054,4138,515028,30498,72446
14112,11423,Directed,14112_11423,,,107,3638000,16050,14315,0,11260,16356
12953,14696,Directed,12953_14696,,,1,61540,224,158,0,651,98
10469,12244,Directed,10469_12244,,,1,18500,0,0,3500,657,114
11050,11588,Directed,11050_11588,,,2,6000,18,18,94,98,50
14747,14689,Directed,14747_14689,,,364,6637897,25670,22053,17962,12712,40486
12945,11057,Directed,12945_11057,,,1982,40651328,99247,75283,17944,7614,98811
12320,14685,Directed,12320_14685,,,1,42738,174,132,0,608,99
11503,10397,Directed,11503_10397,,,99,5158040,18124,13252,0,5248,15594
14457,10627,Directed,14457_10627,,,2,47500,200,183,0,440,70
12363,12892,Directed,12363_12892,,,357,2692851,10710,3429,0,2172,17116
11140,10423,Directed,11140_10423,,,3,111500,411,239,1051,501,213
10397,13502,Directed,10397_13502,,,36,1035730,4261,2869,10,9464,7047
13422,11150,Directed,13422_11150,,,3,40500,150,112,0,464,239
11726,12441,Directed,11726_12441,,,1,4695,12,4,0,846,0
13198,12892,Directed,13198_12892,,,1100,37715473,136896,111608,355176,69513,208440
11884,10641,Directed,11884_10641,,,2,6900,0,0,1260,386,140
10732,10158,Directed,10732_10158,,,1,37400,150,124,0,1511,278
12250,13871,Directed,12250_13871,,,1,5300,7,1,0,1325,204
11278,12264,Directed,11278_12264,,,6,153119,552,392,0,144,241
10581,15561,Directed,10581_15561,,,1,264000,0,0,108020,2792,0
10423,12206,Directed,10423_12206,,,365,13588027,49703,29129,70581,9282,16721
14107,11884,Directed,14107_11884,,,735,23835100,98376,76235,34205,16320,103592
12478,14107,Directed,12478_14107,,,1990,76501940,298452,255244,245236,107650,574968
11630,12478,Directed,11630_12478,,,4,993600,0,0,846714,9834,1137
10874,10540,Directed,10874_10540,,,1,37400,150,126,0,536,75
11057,11193,Directed,11057_11193,,,3073,51405694,193258,147086,44197,32495,185546
15656,15096,Directed,15656_15096,,,1,3450,8,3,0,113,30
