id,label,timeset,Airport,City_name,State_name
12902,"LBL",,"LBL","Liberal KS","Kansas"
15620,"VOK",,"VOK","Camp Douglas WI","Wisconsin"
11883,"GED",,"GED","Georgetown DE","Delaware"
12492,"JHM",,"JHM","Kapalua HI","Hawaii"
10237,"AKB",,"AKB","Atka AK","Alaska"
14618,"RQZ",,"RQZ","Mary Esther FL","Florida"
11885,"GEK",,"GEK","Ganes Creek AK","Alaska"
11884,"GEG",,"GEG","Spokane WA","Washington"
16091,"YIP",,"YIP","Detroit MI","Michigan"
16542,"RBW",,"RBW","Walterboro SC","South Carolina"
14617,"RQY",,"RQY","Comanche TX","Texas"
12719,"KLG",,"KLG","Kalskag AK","Alaska"
14610,"RQR",,"RQR","Harbor Springs MI","Michigan"
14197,"POB",,"POB","Fayetteville NC","North Carolina"
13756,"NTD",,"NTD","Port Hueneme CA","California"
12653,"KEK",,"KEK","Ekwok AK","Alaska"
12652,"KEH",,"KEH","Seattle WA","Washington"
15440,"UES",,"UES","Waukesha WI","Wisconsin"
12141,"HKB",,"HKB","Healy AK","Alaska"
13612,"NBG",,"NBG","New Orleans LA","Louisiana"
10254,"AL2",,"AL2","Alabaster AL","Alabama"
14927,"SNY",,"SNY","Sidney NE","Nebraska"
11288,"DEC",,"DEC","Decatur IL","Illinois"
15825,"CWF",,"CWF","Lake Charles LA","Louisiana"
10257,"ALB",,"ALB","Albany NY","New York"
16511,"IN3",,"IN3","Indianapolis IN","Indiana"
11280,"DCK",,"DCK","Dahl Creek AK","Alaska"
13029,"LNK",,"LNK","Lincoln NE","Nebraska"
11282,"DCU",,"DCU","Decatur AL","Alabama"
10874,"CAK",,"CAK","Cleveland OH","Ohio"
15255,"TLR",,"TLR","Tulare CA","California"
15525,"UXK",,"UXK","Petaluma CA","California"
15527,"UXM",,"UXM","47-Mile Mine AK","Alaska"
15919,"XNA",,"XNA","Fayetteville AR","Arkansas"
15481,"UOX",,"UOX","Oxford MS","Mississippi"
12039,"GWO",,"GWO","Greenwood MS","Mississippi"
15897,"WYS",,"WYS","West Yellowstone MT","Montana"
14441,"QSO",,"QSO","Southbridge MA","Massachusetts"
12992,"LIT",,"LIT","Little Rock AR","Arkansas"
12993,"LIV",,"LIV","Livengood AK","Alaska"
14332,"PYM",,"PYM","Plymouth MA","Massachusetts"
13936,"ORL",,"ORL","Orlando FL","Florida"
13537,"MVN",,"MVN","Mount Vernon IL","Illinois"
14447,"RAC",,"RAC","Racine WI","Wisconsin"
13431,"MOR",,"MOR","Morristown TN","Tennessee"
13432,"MOS",,"MOS","Moses Point AK","Alaska"
13433,"MOT",,"MOT","Minot ND","North Dakota"
13434,"MOU",,"MOU","Mountain Village AK","Alaska"
12260,"IA1",,"IA1","Shenandoah IA","Iowa"
11085,"CNM",,"CNM","Carlsbad NM","New Mexico"
14539,"RKD",,"RKD","Rockland ME","Maine"
12737,"KMO",,"KMO","Manokotak AK","Alaska"
16311,"ZNC",,"ZNC","Nyac AK","Alaska"
14685,"SAV",,"SAV","Savannah GA","Georgia"
15707,"WA6",,"WA6","Stehekin WA","Washington"
14683,"SAT",,"SAT","San Antonio TX","Texas"
14081,"PGA",,"PGA","Page AZ","Arizona"
11697,"FLL",,"FLL","Fort Lauderdale FL","Florida"
11695,"FLG",,"FLG","Flagstaff AZ","Arizona"
12003,"GTF",,"GTF","Great Falls MT","Montana"
14689,"SBA",,"SBA","Santa Barbara CA","California"
11014,"CIV",,"CIV","Chomley AK","Alaska"
16390,"BVU",,"BVU","Beluga AK","Alaska"
11592,"ESN",,"ESN","Easton MD","Maryland"
11456,"DXR",,"DXR","Danbury CT","Connecticut"
12265,"IAG",,"IAG","Niagara Falls NY","New York"
11450,"DVT",,"DVT","Phoenix AZ","Arizona"
11042,"CLE",,"CLE","Cleveland OH","Ohio"
14237,"PRC",,"PRC","Prescott AZ","Arizona"
13970,"OTZ",,"OTZ","Kotzebue AK","Alaska"
10309,"ANP",,"ANP","Annapolis MD","Maryland"
14113,"PIH",,"PIH","Pocatello ID","Idaho"
12124,"HHH",,"HHH","Hilton Head SC","South Carolina"
13871,"OMA",,"OMA","Omaha NE","Nebraska"
12079,"HBH",,"HBH","Hobart Bay AK","Alaska"
10304,"ANI",,"ANI","Aniak AK","Alaska"
12878,"LAF",,"LAF","Lafayette IN","Indiana"
15554,"VAK",,"VAK","Chevak AK","Alaska"
16218,"YUM",,"YUM","Yuma AZ","Arizona"
13321,"MIV",,"MIV","Millville NJ","New Jersey"
11123,"CPS",,"CPS","St. Louis MO","Missouri"
11013,"CIU",,"CIU","Sault Ste. Marie MI","Michigan"
12544,"JQF",,"JQF","CONCORD NC","North Carolina"
15411,"TYR",,"TYR","Tyler TX","Texas"
15412,"TYS",,"TYS","Knoxville TN","Tennessee"
15008,"STC",,"STC","St. Cloud MN","Minnesota"
14435,"QQY",,"QQY","San Marcos TX","Texas"
10040,"A27",,"A27","Pogo Mines AK","Alaska"
11150,"CSG",,"CSG","Columbus GA","Georgia"
11152,"CSM",,"CSM","Clinton OK","Oklahoma"
14534,"RIW",,"RIW","Riverton/Lander WY","Wyoming"
14167,"PML",,"PML","Port Moller AK","Alaska"
13447,"MPR",,"MPR","McPherson KS","Kansas"
14530,"RIL",,"RIL","Rifle CO","Colorado"
14533,"RIV",,"RIV","Riverside CA","California"
10629,"BIX",,"BIX","Biloxi MS","Mississippi"
11627,"F70",,"F70","Murrieta/Temecula CA","California"
11624,"EYW",,"EYW","Key West FL","Florida"
10620,"BIL",,"BIL","Billings MT","Montana"
10469,"AZO",,"AZO","Kalamazoo MI","Michigan"
