Source,Target,Type,id,label,timeset,weight,PAYLOAD,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME
50,34,Directed,50_34,,,1620,19774887,88455,76383,0,13494,85346
55,39,Directed,55_39,,,614,12401011,29954,19987,1613208,14582,32163
20,53,Directed,20_53,,,20,7060259,0,0,1206475,18754,4004
26,42,Directed,26_42,,,11507,227529390,880199,669963,900797,178206,671070
30,40,Directed,30_40,,,4,270376,76,60,47556,4149,647
51,44,Directed,51_44,,,2992,54341825,205065,164156,14660,38950,173714
8,12,Directed,8_12,,,8964,354955697,1498344,1333718,544668,677608,1676732
5,26,Directed,5_26,,,320,5561483,20937,14518,63729,23208,31589
42,17,Directed,42_17,,,17836,548257320,1997000,1665413,17804383,346069,1616180
19,5,Directed,19_5,,,4,109880,439,290,0,1703,378
78,9,Directed,78_9,,,1,51960,180,159,0,1688,252
45,1,Directed,45_1,,,6,643510,907,642,308925,2182,381
46,13,Directed,46_13,,,325,9426251,34841,29937,2384,19960,39187
22,45,Directed,22_45,,,8,403080,871,677,31000,5353,1003
51,49,Directed,51_49,,,684,30990467,117671,105333,7088,62888,174216
54,27,Directed,54_27,,,1,42500,173,73,0,750,120
31,34,Directed,31_34,,,623,6837719,32743,27013,0,32886,89193
26,49,Directed,26_49,,,1525,64652958,249852,227678,173147,93226,315036
30,49,Directed,30_49,,,7359,127185730,502496,425745,59751,124351,467382
38,51,Directed,38_51,,,4,228040,658,547,0,4598,558
8,15,Directed,8_15,,,693,45719920,165690,141427,476825,187200,290490
50,12,Directed,50_12,,,95,8029000,16350,12290,0,24570,15504
20,55,Directed,20_55,,,3,37000,150,137,0,1782,335
31,8,Directed,31_8,,,7116,117534831,480777,379333,86755,120307,465140
6,54,Directed,6_54,,,1,3600,15,1,0,2066,243
26,39,Directed,26_39,,,6668,132605166,372039,293097,12614841,50967,204133
23,18,Directed,23_18,,,5,42732,190,147,0,4426,466
41,34,Directed,41_34,,,419,18284406,71455,64844,372653,99843,115040
4,2,Directed,4_2,,,317,11810520,43221,37620,124665,40832,102903
17,32,Directed,17_32,,,8805,365188760,1491764,1365087,1068158,352129,1804207
